player_id,player_display_name,position,team,opponent_team,season,week,season_type,completions,attempts,passing_yards,passing_interceptions,sacks,carries,targets,receptions,receiving_yards,receiving_air_yards,sack_fumbles,sack_fumbles_lost,rushing_fumbles,rushing_fumbles_lost,receiving_fumbles,receiving_fumbles_lost
00-0000001,Rain Arm,QB,AAA,BBB,2099,1,REG,20,32,210,2,3,2,0,0,0,0,1,1,0,0,0,0
00-0000002,Slick Hands,WR,AAA,BBB,2099,1,REG,1,1,25,0,0,1,10,6,70,95,0,0,0,0,1,0
00-0000003,Tight Grip,TE,AAA,BBB,2099,1,REG,0,0,0,0,0,0,5,4,41,30,0,0,0,0,0,0
00-0000004,Mud Runner,RB,AAA,BBB,2099,1,REG,0,0,0,0,0,18,3,2,12,4,0,0,1,0,0,0
00-0000009,Toe Punter,K,AAA,BBB,2099,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0000001,Rain Arm,QB,AAA,BBB,2099,1,REG,20,32,210,2,3,2,0,0,0,0,1,1,0,0,0,0
00-0000005,Dry Arm,QB,BBB,AAA,2099,1,REG,25,30,300,0,1,1,0,0,0,0,0,0,0,0,0,0
00-0000006,Sure Hands,WR,BBB,AAA,2099,1,REG,0,0,0,0,0,0,12,9,140,120,0,0,0,0,0,0
00-0000001,Rain Arm,QB,AAA,CCC,2099,2,REG,15,25,180,1,2,3,0,0,0,0,0,0,1,1,0,0
00-0000007,Blank Line,WR,BBB,AAA,2099,2,REG,,,,,,,4,3,33,28,,,,,,
00-0000008,Old Raider,RB,OAK,AAA,2099,2,REG,0,0,0,0,0,10,2,1,9,3,0,0,0,0,0,0
00-0000001,Rain Arm,QB,AAA,DDD,2099,19,POST,10,15,120,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0000001,Rain Arm,QB,AAA,BBB,2098,1,REG,5,9,60,0,0,0,0,0,0,0,0,0,0,0,0,0
